"Database Name","Allergenecity","IUIS Name","Source","Link","Species","Common Name","Description","Accession","Length","Route of allergen exposure","Group1","Gene ID","Biochemical Name","MW(SDS-PAGE)","Authority","Habitat","Organism Type"
"Allergome","Allergen Molecule","Act c 10.0101","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5736","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 11","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=8234","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 12","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=9571","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 2","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=2407","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 4","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=2406","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 5","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=4062","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 5.0101","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5734","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 5.0102","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=11668","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 8","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3911","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c 8.0101","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3912","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c Chitinase_I","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=2408","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act c Chitinase_IV","Actinidia chinensis,?Actinidiaceae, Gold Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=10879","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 1","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=1","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 1.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3052","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 10","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5737","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 10.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5738","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 10.0201","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5739","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 11","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=5903","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 11.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=6135","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 12","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=9572","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 12.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=11947","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 12.0102","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=12030","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 13","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=11424","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 13.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=11948","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 2","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=747","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 2.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3053","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 3","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3553","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 3.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3556","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 3.02","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=4027","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 4","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=2404","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 4.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3587","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 5","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=2821","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 5.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3588","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 6","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3548","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 6.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3977","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 7","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3547","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 7.0101","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3976","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
"Allergome","Allergen Molecule","Act d 8","Actinidia deliciosa,?Actinidiaceae, Chinese Gooseberry, Green Kiwi, Plants, Yangtao","http://www.allergome.org/script/dettaglio.php?id_molecule=3546","Species data not found","Common Name not specified because species data is not included","Protein Description data not found","Accesion Number not found","The number of amino acids for allergen not found","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Taxon author not found","Habitat of species not found","Organism type not found"
